Plot_ID,Median,Mode
18-OBR-YTBW-B5I-1647,46,37
18-OBR-YTBW-B5I-1648,59,47
18-OBR-YTBW-B5I-1649,67,54
18-OBR-YTBW-B5I-1650,58,49
18-OBR-YTBW-B5I-1651,57,43
18-OBR-YTBW-B5I-1652,53,45
18-OBR-YTBW-B5I-1653,49,35
18-OBR-YTBW-B5I-1654,58,45
18-OBR-YTBW-B5I-1655,51,48
18-OBR-YTBW-B5I-1656,60,49
18-OBR-YTBW-B5I-1657,62,50
18-OBR-YTBW-B5I-1658,71,48
18-OBR-YTBW-B5I-1659,56,43
18-OBR-YTBW-B5I-1660,47,43
18-OBR-YTBW-B5I-1701,63,46
18-OBR-YTBW-B5I-1702,56,46
18-OBR-YTBW-B5I-1703,50,41
18-OBR-YTBW-B5I-1704,45,38
18-OBR-YTBW-B5I-1705,49,38
18-OBR-YTBW-B5I-1706,51,37
18-OBR-YTBW-B5I-1707,60,40
18-OBR-YTBW-B5I-1708,61,40
18-OBR-YTBW-B5I-1709,58,42
18-OBR-YTBW-B5I-1710,73,44
18-OBR-YTBW-B5I-1711,56,41
18-OBR-YTBW-B5I-1712,72,52
18-OBR-YTBW-B5I-1713,51,35
18-OBR-YTBW-B5I-1714,64,40
18-OBR-YTBW-B5I-1715,56,39
18-OBR-YTBW-B5I-1716,56,35
18-OBR-YTBW-B5I-1717,60,44
18-OBR-YTBW-B5I-1718,54,40
18-OBR-YTBW-B5I-1719,58,48
18-OBR-YTBW-B5I-1720,55,48
18-OBR-YTBW-B5I-1721,51,47
18-OBR-YTBW-B5I-1722,58,54
18-OBR-YTBW-B5I-1723,75,57
18-OBR-YTBW-B5I-1724,64,44
18-OBR-YTBW-B5I-1725,63,38
18-OBR-YTBW-B5I-1726,60,45
18-OBR-YTBW-B5I-1727,68,42
18-OBR-YTBW-B5I-1728,59,37
18-OBR-YTBW-B5I-1729,57,40
18-OBR-YTBW-B5I-1730,63,45
18-OBR-YTBW-B5I-1731,59,43
18-OBR-YTBW-B5I-1732,64,44
18-OBR-YTBW-B5I-1733,54,40
18-OBR-YTBW-B5I-1734,52,36
18-OBR-YTBW-B5I-1735,66,51
18-OBR-YTBW-B5I-1736,57,44
18-OBR-YTBW-B5I-1737,62,52
18-OBR-YTBW-B5I-1738,60,49
18-OBR-YTBW-B5I-1739,59,46
18-OBR-YTBW-B5I-1740,50,43
18-OBR-YTBW-B5I-1741,51,39
18-OBR-YTBW-B5I-1742,62,41
18-OBR-YTBW-B5I-1743,57,45
18-OBR-YTBW-B5I-1744,52,41
18-OBR-YTBW-B5I-1745,58,43
18-OBR-YTBW-B5I-1746,52,46
18-OBR-YTBW-B5I-1747,54,52
18-OBR-YTBW-B5I-1748,70,47
18-OBR-YTBW-B5I-1749,71,47
18-OBR-YTBW-B5I-1750,65,47
18-OBR-YTBW-B5I-1751,60,46
18-OBR-YTBW-B5I-1752,56,46
18-OBR-YTBW-B5I-1753,64,46
18-OBR-YTBW-B5I-1754,55,45
18-OBR-YTBW-B5I-1755,69,46
18-OBR-YTBW-B5I-1756,59,47
18-OBR-YTBW-B5I-1757,57,45
18-OBR-YTBW-B5I-1758,61,41
18-OBR-YTBW-B5I-1759,52,39
18-OBR-YTBW-B5I-1760,52,38
18-OBR-YTBW-B5I-1801,67,51
18-OBR-YTBW-B5I-1802,58,45
18-OBR-YTBW-B5I-1803,62,44
18-OBR-YTBW-B5I-1804,65,47
18-OBR-YTBW-B5I-1805,68,48
