plot_id,trial,plot_no,seed_source,year,location,cycle,conditions,rep,block,subblock,col,row,entry,purpose,gid,tid,occ,site,planting_date,iyear,ilocation,itrial,icondition
18-OBR-YTBW-B5I-1934,YTBW_19,1934,,2018,Obregon,Y17-18,B5IR,2,,1,34,35,1915,,8235586,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1935,YTBW_19,1935,,2018,Obregon,Y17-18,B5IR,2,,1,35,35,1912,,8235581,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1936,YTBW_19,1936,,2018,Obregon,Y17-18,B5IR,2,,2,36,35,1917,,8235588,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1937,YTBW_19,1937,,2018,Obregon,Y17-18,B5IR,2,,2,37,35,1923,,8235595,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1938,YTBW_19,1938,,2018,Obregon,Y17-18,B5IR,2,,2,38,35,1906,,8235575,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1939,YTBW_19,1939,,2018,Obregon,Y17-18,B5IR,2,,2,39,35,1928,,8235609,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1940,YTBW_19,1940,,2018,Obregon,Y17-18,B5IR,2,,2,40,35,1905,,8235571,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1941,YTBW_19,1941,,2018,Obregon,Y17-18,B5IR,2,,3,41,35,1913,,8235582,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1942,YTBW_19,1942,,2018,Obregon,Y17-18,B5IR,2,,3,42,35,1914,,8235583,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1943,YTBW_19,1943,,2018,Obregon,Y17-18,B5IR,2,,3,43,35,1921,,8235592,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1944,YTBW_19,1944,,2018,Obregon,Y17-18,B5IR,2,,3,44,35,1916,,8235587,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1945,YTBW_19,1945,,2018,Obregon,Y17-18,B5IR,2,,3,45,35,1926,,8235604,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1946,YTBW_19,1946,,2018,Obregon,Y17-18,B5IR,2,,4,45,34,1904,,8235570,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1947,YTBW_19,1947,,2018,Obregon,Y17-18,B5IR,2,,4,44,34,1919,,8235590,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1948,YTBW_19,1948,,2018,Obregon,Y17-18,B5IR,2,,4,43,34,1901,,7806808,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1949,YTBW_19,1949,,2018,Obregon,Y17-18,B5IR,2,,4,42,34,1907,,8235576,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1950,YTBW_19,1950,,2018,Obregon,Y17-18,B5IR,2,,4,41,34,1929,,8235610,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1951,YTBW_19,1951,,2018,Obregon,Y17-18,B5IR,2,,5,40,34,1922,,8235593,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1952,YTBW_19,1952,,2018,Obregon,Y17-18,B5IR,2,,5,39,34,1920,,8235591,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1953,YTBW_19,1953,,2018,Obregon,Y17-18,B5IR,2,,5,38,34,1925,,8235602,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1954,YTBW_19,1954,,2018,Obregon,Y17-18,B5IR,2,,5,37,34,1903,,8235569,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1955,YTBW_19,1955,,2018,Obregon,Y17-18,B5IR,2,,5,36,34,1909,,8235578,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1956,YTBW_19,1956,,2018,Obregon,Y17-18,B5IR,2,,6,35,34,1911,,8235580,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1957,YTBW_19,1957,,2018,Obregon,Y17-18,B5IR,2,,6,34,34,1930,,8235611,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1958,YTBW_19,1958,,2018,Obregon,Y17-18,B5IR,2,,6,33,34,1908,,8235577,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1959,YTBW_19,1959,,2018,Obregon,Y17-18,B5IR,2,,6,32,34,1924,,8235600,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1960,YTBW_19,1960,,2018,Obregon,Y17-18,B5IR,2,,6,31,34,1918,,8235589,46424,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-2001,YTBW_20,2001,,2018,Obregon,Y17-18,B5IR,1,,1,31,33,2001,,7806808,46425,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
